"Twitter ID","Tweet text","Tweet Date","Source/Client"
"471741741","RT @narendramodi: Well played @NSaina! We are very proud of you. You created history by reaching the finals. Keep up the spirit.","2015-03-08 16:10:07","Twitter for BlackBerry"
"471741741","RT @narendramodi: On International Women's Day met recipients of Stree Shakti Puraskar and Nari Shakti Puraskar. The interaction was excell…","2015-03-08 16:10:04","Twitter for BlackBerry"
"471741741","RT @narendramodi: The experiences the award winners shared left a deep impact on my mind. They were extremely inspiring. http://t.co/Is1s0r…","2015-03-08 16:10:02","Twitter for BlackBerry"
"471741741","RT @narendramodi: Met Mahila Morcha Karyakartas today. http://t.co/hCjcNTJfit","2015-03-08 16:10:00","Twitter for BlackBerry"
"471741741","RT @narendramodi: My message on International Women's Day, in various languages. http://t.co/13tO8Qpxoj","2015-03-08 16:10:00","Twitter for BlackBerry"
"471741741","RT @narendramodi: Through various schemes &amp; initiatives, our Government remains fully committed to bringing a positive change in the lives …","2015-03-08 05:35:32","Twitter for BlackBerry"
"471741741","RT @narendramodi: I salute the indomitable courage &amp; outstanding achievements of women on International Women's Day. http://t.co/pJP9ufxgsm","2015-03-08 05:35:29","Twitter for BlackBerry"
"471741741","Shri G.Karthikeyan will be remembered as a grassroots leader who dedicated his life to serving the people of Kerala: PM @narendramodi","2015-03-07 07:23:52","Twitter Web Client"
"471741741","My condolences to the family &amp; well-wishers of Kerala Assembly Speaker, Shri G.Karthikeyan on his demise. May his soul rest in peace: PM","2015-03-07 07:22:58","Twitter Web Client"
"471741741","RT @narendramodi: Congratulations to the Cricket Team for the win against West Indies. The Men in Blue seem to be having a great tournament!","2015-03-06 13:59:31","Twitter for BlackBerry"
"471741741","RT @CMMadhyaPradesh: मु.मं.@ChouhanShivraj की उपस्थिति में प्रधानमंत्री @narendramodi ने सिंगाजी ताप विद्युत परियोजना का लोकार्पण किया। htt…","2015-03-05 13:54:38","Twitter for iPhone"
"471741741","They saw we are anti-farmer. We will never oppose farmers. Asked other parties to tell me what to improve but they don't say anything: PM","2015-03-05 08:06:22","Twitter Web Client"
"471741741","The poor need schools. Poor need hospitals. The previous Government refused to give land for hospitals also: PM @narendramodi","2015-03-05 08:04:16","Twitter Web Client"
"471741741","Previous Government made a law that did not allow roads to be built. Do you not want schools? Don't schools need land: PM @narendramodi","2015-03-05 08:03:16","Twitter Web Client"
"471741741","The previous law would not allow homes to be made for you: PM @narendramodi","2015-03-05 08:02:20","Twitter Web Client"
"471741741","The previous Government made a law that would not enable farmers to get water, irrigation facilities: PM @narendramodi","2015-03-05 08:00:41","Twitter Web Client"
"471741741","We took several steps for the welfare of the poor, farmers, tribal communities, Dalit sisters and brothers: PM @narendramodi","2015-03-05 07:56:00","Twitter Web Client"
"471741741","RT @DDNewsHindi: प्रधानमंत्री मोदीः किफायती ऊर्जा की तलाश हमारी प्राथमिकता में है #NarendraModi","2015-03-05 07:55:18","Twitter Web Client"
"471741741","Think of ways to conserve electricity. It is very important: PM @narendramodi","2015-03-05 07:46:04","Twitter Web Client"
"471741741","It is not only homes that brighten but also lives brighten, dreams brighten &amp; the future brightens when electricity comes: PM @narendramodi","2015-03-05 07:39:28","Twitter Web Client"
"471741741","Several villages lack access to electricity. Who are these people affected? Not the rich but the poor. Shouldn't they get electricity: PM","2015-03-05 07:33:08","Twitter Web Client"
"471741741","To keep someone away from energy is like dragging that person to the stone ages: PM @narendramodi","2015-03-05 07:31:31","Twitter Web Client"
"471741741","In the progress of humankind, energy has played a very big role. Without energy, dreams can't be fulfilled: PM @narendramodi in MP","2015-03-05 07:31:05","Twitter Web Client"
"471741741","My greetings to @ChouhanShivraj on his birthday: PM @narendramodi in Madhya Pradesh","2015-03-05 07:30:09","Twitter Web Client"
"471741741","The powers of your blessings are such that your dreams will never be incomplete: PM @narendramodi","2015-03-05 07:29:12","Twitter Web Client"
"471741741","My greetings to all of you on the auspicious occasion of Holi: PM @narendramodi begins his speech in Madhya Pradesh https://t.co/LqGMNGvG7D","2015-03-05 07:26:47","Twitter Web Client"
"471741741","You have given a clarion call for @makeinindia_ &amp; to fulfil that we have begun 'Make in Madhya Pradesh': MP CM @ChouhanShivraj to PM","2015-03-05 07:08:00","Twitter Web Client"
"471741741","PM has increased India's pride across the world: CM @ChouhanShivraj at the programme in Khandwa https://t.co/LqGMNGvG7D","2015-03-05 07:05:56","Twitter Web Client"
"471741741","On behalf of the people of MP I welcome the PM to Madhya Pradesh: CM @ChouhanShivraj to PM @narendramodi","2015-03-05 07:03:22","Twitter Web Client"
"471741741","Hear MP CM @ChouhanShivraj speaking. https://t.co/LqGMNGvG7D","2015-03-05 07:02:53","Twitter Web Client"
"471741741","RT @google: If the Indian PM's Office had an app, what would it do?  No, really, they’re asking you → http://t.co/81nQpf41sa http://t.co/x9…","2015-03-04 10:14:21","Twitter for BlackBerry"
"471741741","Our faith is in the people of Jammu and Kashmir: PM @narendramodi in the Rajya Sabha","2015-03-03 11:39:47","Twitter Web Client"
"471741741","Want to assure the people of India, the Govt. in J&amp;K is on a CMP. Government will run on a CMP. 0 tolerance on terror is our policy: PM","2015-03-03 11:38:50","Twitter Web Client"
"471741741","The law will stay we will remove the shortcomings. I urge you to help us and together we can take India's development ahead: PM on land law","2015-03-03 11:31:02","Twitter Web Client"
"471741741","On land acquisition please do not spread lies that compensation is getting less: PM @narendramodi in the Rajya Sabha","2015-03-03 11:29:43","Twitter Web Client"
"471741741","We are giving importance to a digital India and mobile governance: PM @narendramodi in the Rajya Sabha","2015-03-03 11:25:37","Twitter Web Client"
"471741741","To increase jobs we have to give impetus to @makeinindia_ and infrastructure: PM @narendramodi in Rajya Sabha https://t.co/af3iIYDrXL","2015-03-03 11:23:52","Twitter Web Client"
"471741741","Those with an imported ideology got to serve in West Bengal for 30 years. What happened there: PM @narendramodi in the Rajya Sabha","2015-03-03 11:21:06","Twitter Web Client"
"471741741","Whatever we are doing, let us take it to the ground and take it to the people. Our efforts are in that direction: PM @narendramodi","2015-03-03 11:18:06","Twitter Web Client"
"471741741","Development can happen through 'Neeti' and 'Reeti': PM @narendramodi in the Rajya Sabha","2015-03-03 11:16:46","Twitter Web Client"
"471741741","Railways and Highways, they are both under the Government but one did not approve project of the other. We changed that: PM @narendramodi","2015-03-03 11:07:54","Twitter Web Client"
"471741741","In 2004 the Cabinet Secretary was removed, Foreign Secretary was made without regarding seniority. You insulted Governors &amp; removed them: PM","2015-03-03 11:05:25","Twitter Web Client"
"471741741","Both Ghulam Nabi ji and Anand ji spoke about officers being transferred. Do we remember what happened in 2004: PM @narendramodi","2015-03-03 11:04:38","Twitter Web Client"
"471741741","When we build toilets in schools is this for corporates? Is soil health cards for corporates: PM @narendramodi in the Rajya Sabha","2015-03-03 10:45:30","Twitter Web Client"
"471741741","This Swachhata Abhiyaan, is this for corporates? Can we not provide basic cleanliness facilities to people. Is Jan Dhan about corporates: PM","2015-03-03 10:44:07","Twitter Web Client"
"471741741","I had said it from the Red Fort- every Government, every PM, every State Government has contributed to India's progress: PM","2015-03-03 10:34:04","Twitter Web Client"
"471741741","We do not feel that just because we are in the treasury benches we know it all. Everyone has to work together: PM @narendramodi","2015-03-03 10:31:29","Twitter Web Client"
